id,first_name,last_name,ssn,date_of_birth,veteran_status,substance_abuse_problem,entry_date,exit_date,clientguid,middle_name,primary_race,secondary_race,gender,ethnicity,disabling_condition,hud_chronic_homelessness,calculated_chronic_homelessness,chronic_health_condition,physical_disability,hivaids_status,mental_health_problem,domestic_violence,discharge_type,developmental_disability,us_citizen,asylee,lifetime_sex_offender,meth_production_conviction,id_in_data_source,calculated_first_homeless_night,calculated_last_homeless_night,source_last_changed,data_source_id,data_source_id_column_name,client_id,homephone,cellphone,workphone,pager,email,needs_update
479103,Maximo,Mante,,10/15/82,1,Alcohol abuse,,,,,,,1,,1,,1,1,1,0,1,0,,,1,0,0,0,,6/7/06,6/23/14,6/29/15 9:58,,,,,, ,,,1
479119,Jaylan,Oberbrunner,844264631,,,Alcohol Abuse,,,,,,,0,,1,,1,1,1,0,1,1,,,1,0,0,0,,7/25/06,4/9/14,9/13/14 7:23,,,,,, ,,,1
479161,Fermin,King,785374521,3/19/76,,Both alcohol and drug abuse,,,,,,,0,,1,,1,0,1,0,1,0,,,1,0,0,0,,8/11/09,8/13/15,8/14/15 19:38,,,,,, ,,,1
479179,Enid,Kerluke,132788245,6/3/98,,No,,,,,,,1,,1,,1,1,1,0,1,,,,1,0,0,0,,7/19/06,3/5/14,9/13/14 7:08,,,,,, ,,,1
479190,Joanne,Jenkins,,,,Data not collected,,,,,,,9,,1,,1,1,1,0,1,0,,,1,0,0,0,,1/23/08,4/9/15,6/3/15 19:50,,,,,, ,,,1
479204,Ulises,Romaguera,,12/11/63,,Alcohol abuse,,,,,,,8,,1,,1,1,0,0,1,0,,,1,0,0,0,,9/14/07,1/7/15,10/8/15 10:41,,,,,, ,,,1
479249,Georgianna,,,,,Alcohol abuse,,,,,,,3,,1,,1,1,1,0,1,0,,,1,0,0,0,,8/22/06,10/16/15,10/16/15 22:13,,,,,, ,,,1
479339,Morton,Mraz,975981297,,,Alcohol abuse,,,,,,,1,,1,,1,0,1,0,1,0,,,1,0,0,0,,9/3/07,10/13/15,10/14/15 4:22,,,,,, ,,,1
479391,Dario,Klein,,1/17/64,,No,,,,,,,1,,1,,1,0,0,0,1,0,,,1,0,0,0,,11/10/06,10/16/15,10/16/15 18:47,,,,,, ,,,1
479394,Magdalen,DuBuque,,3/3/82,,Client refused,,,,,,,2,,1,,1,0,1,0,1,0,,,1,0,0,0,,10/26/06,10/15/15,10/16/15 4:01,,,,,, ,,,1
479431,Vivianne,Monahan,,4/25/84,1,Alcohol abuse,,,,,,,3,,1,,1,1,1,0,1,0,,,1,0,0,0,,12/18/06,10/13/15,10/14/15 4:22,,,,,, ,,,1
479451,Herminio,Breitenberg,283089092,10/4/82,,No,,,,,,,1,,1,,1,0,0,0,1,0,,,1,0,0,0,,4/16/06,10/16/15,10/16/15 19:51,,,,,, ,,,1
479503,Russel,Raynor,,,,Alcohol abuse,,,,,,,4,,1,,1,0,0,0,0,0,,,1,0,0,0,,4/15/06,10/11/15,10/12/15 4:30,,,,,, ,,,1
479516,Terence,Ward,,8/26/58,,Data not collected,,,,Lowe,,,2,,1,,1,0,0,0,0,0,,,1,0,0,0,,1/14/07,10/14/15,10/15/15 4:41,,,,,, ,,,1
